neighborhood,year,n_permits,permits_per_sm
Bucktown,2009,2,9.869265072612889
Bucktown,2010,2,9.869265072612889
Bucktown,2011,4,19.738530145225777
Bucktown,2012,12,59.215590435677335
Bucktown,2013,16,78.95412058090311
Bucktown,2014,20,98.69265072612889
Bucktown,2015,15,74.01948804459667
Bucktown,2016,11,54.28095789937089
Bucktown,2017,16,78.95412058090311
Bucktown,2018,9,44.411692826758
Bucktown,2019,5,24.673162681532222
Bucktown,2020,5,24.673162681532222
Bucktown,2021,6,29.607795217838667
Budlong Woods,2006,0,0
Budlong Woods,2007,1,16.475015535012066
Budlong Woods,2008,0,0
Budlong Woods,2009,0,0
Budlong Woods,2010,0,0
Budlong Woods,2011,1,16.475015535012066
Budlong Woods,2012,0,0
Budlong Woods,2013,0,0
Budlong Woods,2014,0,0
Budlong Woods,2015,0,0
Budlong Woods,2016,0,0
Budlong Woods,2017,0,0
Budlong Woods,2018,1,16.475015535012066
Budlong Woods,2019,0,0
Budlong Woods,2020,0,0
Budlong Woods,2021,0,0
Buena Park,2006,1,5.516433372075926
Buena Park,2007,1,5.516433372075926
Buena Park,2008,0,0
Buena Park,2009,2,11.032866744151852
Buena Park,2010,1,5.516433372075926
Buena Park,2011,0,0
Buena Park,2012,2,11.032866744151852
Buena Park,2013,1,5.516433372075926
Buena Park,2014,1,5.516433372075926
Buena Park,2015,0,0
Buena Park,2016,1,5.516433372075926
Buena Park,2017,0,0
Buena Park,2018,1,5.516433372075926
Buena Park,2019,0,0
Buena Park,2020,0,0
Buena Park,2021,1,5.516433372075926
Burnside,2006,2,33.4052012701697
Burnside,2007,0,0
Burnside,2008,1,16.70260063508485
Burnside,2009,0,0
Burnside,2010,0,0
Burnside,2011,0,0
Burnside,2012,0,0
Burnside,2013,0,0
Burnside,2014,0,0
Burnside,2015,0,0
Burnside,2016,0,0
Burnside,2017,0,0
Burnside,2018,0,0
Burnside,2019,0,0
Burnside,2020,0,0
Burnside,2021,0,0
Cabrini Green,2006,0,0
Cabrini Green,2007,0,0
Cabrini Green,2008,0,0
Cabrini Green,2009,0,0
Cabrini Green,2010,0,0
Cabrini Green,2011,0,0
Cabrini Green,2012,0,0
Cabrini Green,2013,0,0
Cabrini Green,2014,12,246.16961327310645
Cabrini Green,2015,0,0
Cabrini Green,2016,0,0
Cabrini Green,2017,0,0
Cabrini Green,2018,0,0
Cabrini Green,2019,0,0
Cabrini Green,2020,0,0
Cabrini Green,2021,1,20.514134439425536
Calumet Heights,2006,3,337.09746745482823
Calumet Heights,2007,0,0
Calumet Heights,2008,0,0
Calumet Heights,2009,0,0
Calumet Heights,2010,0,0
Calumet Heights,2011,0,0
Calumet Heights,2012,0,0
Calumet Heights,2013,0,0
Calumet Heights,2014,0,0
Calumet Heights,2015,0,0
Calumet Heights,2016,0,0
Calumet Heights,2017,0,0
